,Feature Name,Feature Value,Contribution,Average/Mode
18,Number of Javascript keywords,0.0,0.0905879645245932,0.08
1,Size of metadata,272.0,0.08960780904590138,325.05999755859375
0,Total size,90.0,0.06948475042366226,326.9700012207031
7,Number of images,1.0,0.06280589507630793,1.75
15,Number of keywords with startxref,2.0,0.06210916457563144,2.05
17,Number of JS keywords,0.0,0.04842827077864058,0.04
9,Number of objects,37.0,0.03310642053399533,102.74747474747475
10,,37.0,0.03096182932069496,101.71
11,Number of streams (sequences of binary data),25.0,0.028732491766053272,36.15999984741211
12,Number of keywords that denote end of streams,25.0,0.020738448174784027,36.16
13,Number of Xref tables,2.0,0.017792625099805264,1.39
14,Number of trailers,2.0,0.013463364703347906,1.3899999856948853
3,Number of entries in Xref tables,21.0,0.012381735600642969,246.57000732421875
8,Contains text,0.0,-0.010732380696517795,0.66
25,Number of XFA keywords,0.0,0.007587579462051508,-0.03
26,Number of unique colors used,0.0,0.006256984030187596,0.07000000029802322
20,Number of OpenAction keywords,0.0,0.005537765877329548,-0.01
21,Number of Acroform tags,1.0,-0.0038506001411042234,0.59
6,Number of embedded files,0.0,0.0023855556013950264,0.0
28,Header is standard,True,0.0021605905496835474,1.0
4,Number of characters in the title,0.0,0.00213821795135118,14.5
24,Number of Launch keywords,0.0,0.000969484115994419,-0.03
16,Number of streams that contain other objects,0.0,-0.0005519048086625844,4.210000038146973
2,Number of pages,1.0,0.00049178939477315,7.03000020980835
5,Encryption status,0.0,0.00030031746991880935,0.009999999776482582
22,Presence of JBIG2Decode filter,0.0,0.00029035715066129343,0.13
19,Number of AA keywords,0.0,0.00026059526848257517,0.02
23,Number of RichMedia keywords,0.0,0.00015488095423279446,-0.03
27,Header contains error,False,0.0,0.0
