Feature Name,Feature Value,Contribution,Average/Mode
Call  Failure,0.0,-0.49731146318943004,5.666666666666667
Complains,0.0,-0.3542611547995063,0.0
Subscription  Length,28.0,0.09463770573351701,35.0
Charge  Amount,0.0,0.16109317257355454,1.0
Seconds of Use,3153.0,0.0944526788316484,6058.666666666667
Frequency of use,66.0,0.07857564513715166,96.5
Frequency of SMS,0.0,0.2880061688709283,195.0
Distinct Called Numbers,20.0,0.11141306163045925,30.333333333333332
Age Group,,0.005327589617492338,2.5
Tariff Plan,1.0,0.01380347664530653,1.0
Status,1.0,-0.29928047664560903,1.0
Age,25.0,0.02865654777031027,26.666666666666668
Customer Value,144.855,0.264171328212674,1108.3833333333334
