,Feature Name,Feature Value,Contribution,Average/Mode
1,Size of metadata,262.0,0.0944838882989643,325.05999755859375
0,Total size,74.0,0.0832961906489436,326.9700012207031
18,Number of Javascript keywords,0.0,0.08021432577028463,0.08
15,Number of keywords with startxref,3.0,0.06231372904394448,2.05
7,Number of images,1.0,0.0590181423186732,1.75
9,Number of objects,42.0,0.04417460336201657,102.74747474747475
10,,42.0,0.04395226561890922,101.71
17,Number of JS keywords,0.0,0.041092615248289804,0.04
11,Number of streams (sequences of binary data),30.0,0.03695234094519037,36.15999984741211
12,Number of keywords that denote end of streams,30.0,0.030326580580103835,36.16
8,Contains text,0.0,-0.01299952000623307,0.66
3,Number of entries in Xref tables,21.0,0.012517828366626418,246.57000732421875
16,Number of streams that contain other objects,6.0,0.011588174876851553,4.210000038146973
13,Number of Xref tables,0.0,-0.011584285540911878,1.39
14,Number of trailers,0.0,-0.009321345374000884,1.3899999856948853
20,Number of OpenAction keywords,0.0,0.008920988369482075,-0.01
25,Number of XFA keywords,0.0,0.007323214379393903,-0.03
26,Number of unique colors used,0.0,0.005907698337541661,0.07000000029802322
21,Number of Acroform tags,2.0,-0.0036625830477169073,0.59
4,Number of characters in the title,0.0,0.0028338888861253507,14.5
28,Header is standard,True,0.0022789971422753296,1.0
6,Number of embedded files,0.0,0.0020834524247038645,0.0
24,Number of Launch keywords,0.0,0.0009519444321631454,-0.03
23,Number of RichMedia keywords,0.0,0.0003115872994385427,-0.03
22,Presence of JBIG2Decode filter,0.0,0.00031035715044708923,0.13
5,Encryption status,0.0,0.00021055556175269885,0.009999999776482582
19,Number of AA keywords,0.0,0.0001392460535862483,0.02
2,Number of pages,1.0,-3.488081205432536e-05,7.03000020980835
27,Header contains error,False,0.0,0.0
