Feature Name,Feature Value,Contribution,Average/Mode
 Identifies the type of dwelling involved in the sale.,50,-5.74992225871437,47.0
 Linear feet of street connected to property,85.0,356.18473876209504,71.44444444444444
 Lot size in square feet,14115,1541.3231210859983,10374.8
 Rates the overall material and finish of the house,5,-10743.763013432692,6.7
 Rates the overall condition of the house,5,-2670.4623878497214,5.5
 Original construction date,1993,6038.165787777356,1976.1
 Remodel date (same as construction date if no remodeling or additions),1995,963.9684544180773,1983.9
 Masonry veneer area in square feet,0.0,-2384.7191102412953,113.4
 Type 1 finished square feet,732,4089.9409086787828,683.1
 Type 2 finished square feet,0,-492.81895896847595,32.2
 Unfinished square feet of basement area,64,403.16944090380804,358.3
 Total square feet of basement area,796,-7480.476886548424,1073.6
 First Floor square feet,796,-6330.773987144604,1101.9
 Second floor square feet,566,5035.078864408749,583.0
 Low quality finished square feet (all floors),0,23.593205807691724,0.0
 Above grade (ground) living area square feet,1362,-8853.109575878141,1684.9
 Basement full bathrooms,1,862.9983446631171,0.8
 Basement half bathrooms,0,182.7069172638496,0.1
 Full bathrooms above grade,1,-1725.3486134229336,1.7
 Half baths above grade,1,1175.4373998573503,0.6
 Bedrooms above grade (does NOT include basement bedrooms),1,8905.730254342725,2.8
 Kitchens above grade,1,264.9751492072544,1.1
 Total rooms above grade (does not include bathrooms),5,-3067.217115958139,6.9
 Number of fireplaces,0,-2452.2032668435836,0.9
 Year garage was built,1993.0,-342.5342276468197,1984.4
 Size of garage in car capacity,2,58.10796524914301,2.1
 Size of garage in square feet,480,-605.937917896945,543.8
 Wood deck area in square feet,40,-1253.8837058974475,184.6
 Open porch area in square feet,30,-478.7094944092921,58.1
 Enclosed porch area in square feet,0,-415.2004969645055,70.5
 Three season porch area in square feet,320,9959.331215652945,32.0
 Screen porch area in square feet,0,-910.6482644469232,0.0
 Pool area in square feet,0,0.0,0.0
 $Value of miscellaneous feature,700,324.6500441597803,105.0
 Month Sold (MM),10,-1268.265730193292,6.9
 Year Sold (YYYY),2009,-542.8268637720477,2007.8
 Type of alley access to property,,71.71673395396012,
 Type of dwelling,1Fam,731.6166191673829,1Fam
 Evaluates the general condition of the basement,TA,27.888720700067893,TA
 Refers to walkout or garden level walls,No,-3671.1232688158607,No
 Rating of basement finished area,GLQ,2764.467036148777,GLQ
 Rating of basement finished area (if multiple types),Unf,232.51227133810937,Unf
 Evaluates the height of the basement,Gd,-3504.4093820197963,Gd
 Central air conditioning,Y,49.32684068078288,Y
 Proximity to various conditions,Norm,801.9875085137489,Norm
 Proximity to various conditions (if more than one is present),Norm,192.06878836025004,Norm
 Electrical system,SBrkr,-83.00691850861952,SBrkr
 Evaluates the present condition of the material on the exterior,TA,140.66731210452542,TA
 Evaluates the quality of the material on the exterior,TA,-1868.010334238867,Gd
 Exterior covering on house,VinylSd,-1631.2700353053392,VinylSd
 Exterior covering on house (if more than one material),VinylSd,3005.254765648342,VinylSd
 Fence quality,MnPrv,301.03971785111526,MnPrv
 Fireplace quality,,1805.6538594757326,TA
 Type of foundation,Wood,-18650.666195097787,PConc
 Home functionality (Assume typical unless deductions are warranted),Typ,1722.604429166849,Typ
 Garage condition,TA,285.649658219117,TA
 Interior finish of the garage,Unf,1155.6018220819512,RFn
 Garage quality,TA,-254.53112775317254,TA
 Garage location,Attchd,-892.5718483498481,Attchd
 Type of heating,GasA,0.0,GasA
 Heating quality and condition,Ex,1181.3365585814993,Ex
 Style of dwelling,1.5Fin,-2814.3490105463934,2Story
 Kitchen quality,TA,-1327.827122873965,Gd
 Flatness of the property,Lvl,424.3133355512327,Lvl
 Slope of property,Gtl,-225.7224825380697,Gtl
 Lot configuration,Inside,-336.5486224832815,Inside
 General shape of property,IR1,-749.6608588810226,IR1
 Identifies the general zoning classification of the sale.,RL,440.9961923472579,RL
 Masonry veneer type,,537.4663730026551,BrkFace
 Miscellaneous feature not covered in other categories,Shed,552.1436247585643,Shed
 Physical locations within Ames city limits,Mitchel,-13510.920744839805,CollgCr
 Paved driveway,Y,219.2883820299091,Y
 Pool quality,,0.0,
 Roof material,CompShg,-241.17692677970774,CompShg
 Type of roof,Gable,-273.273849896367,Gable
 Condition of sale,Normal,1302.657229670718,Normal
 Type of sale,WD,-2609.610770958109,WD
 Type of road access to property,Pave,0.0,Pave
 Type of utilities available,AllPub,0.0,AllPub
