Feature Name,Feature Value,Contribution,Average/Mode
 Identifies the type of dwelling involved in the sale.,60,-580.7421481301432,47.0
 Linear feet of street connected to property,68.0,123.02568758937207,71.44444444444444
 Lot size in square feet,11250,-564.7313352711359,10374.8
 Rates the overall material and finish of the house,7,2855.9370035707148,6.7
 Rates the overall condition of the house,5,-2670.4623878497214,5.5
 Original construction date,2001,8500.210961183018,1976.1
 Remodel date (same as construction date if no remodeling or additions),2002,1749.507357901966,1983.9
 Masonry veneer area in square feet,162.0,582.8987716076049,113.4
 Type 1 finished square feet,486,15.073695787524986,683.1
 Type 2 finished square feet,0,-492.81895896847595,32.2
 Unfinished square feet of basement area,434,109.3488911019389,358.3
 Total square feet of basement area,920,-4747.077346451165,1073.6
 First Floor square feet,920,-4544.901488097965,1101.9
 Second floor square feet,866,13079.62090692153,583.0
 Low quality finished square feet (all floors),0,23.593205807691724,0.0
 Above grade (ground) living area square feet,1786,5844.30021336356,1684.9
 Basement full bathrooms,1,862.9983446631171,0.8
 Basement half bathrooms,0,182.7069172638496,0.1
 Full bathrooms above grade,2,929.0338687661954,1.7
 Half baths above grade,1,1175.4373998573503,0.6
 Bedrooms above grade (does NOT include basement bedrooms),3,-323.0057605202017,2.8
 Kitchens above grade,1,264.9751492072544,1.1
 Total rooms above grade (does not include bathrooms),6,-1273.522896099578,6.9
 Number of fireplaces,1,774.3799790032368,0.9
 Year garage was built,2001.0,-537.0178203490606,1984.4
 Size of garage in car capacity,2,58.10796524914301,2.1
 Size of garage in square feet,608,708.1937915372973,543.8
 Wood deck area in square feet,0,-1891.8301347437703,184.6
 Open porch area in square feet,42,-214.47242297822012,58.1
 Enclosed porch area in square feet,0,-415.2004969645055,70.5
 Three season porch area in square feet,0,0.0,32.0
 Screen porch area in square feet,0,-910.6482644469232,0.0
 Pool area in square feet,0,0.0,0.0
 $Value of miscellaneous feature,0,-28.230438622589592,105.0
 Month Sold (MM),9,-950.4046449318153,6.9
 Year Sold (YYYY),2008,-86.66983539219659,2007.8
 Type of alley access to property,,71.71673395396012,
 Type of dwelling,1Fam,731.6166191673829,1Fam
 Evaluates the general condition of the basement,TA,27.888720700067893,TA
 Refers to walkout or garden level walls,Mn,-282.70509194260376,No
 Rating of basement finished area,GLQ,2764.467036148777,GLQ
 Rating of basement finished area (if multiple types),Unf,232.51227133810937,Unf
 Evaluates the height of the basement,Gd,-3504.4093820197963,Gd
 Central air conditioning,Y,49.32684068078288,Y
 Proximity to various conditions,Norm,801.9875085137489,Norm
 Proximity to various conditions (if more than one is present),Norm,192.06878836025004,Norm
 Electrical system,SBrkr,-83.00691850861952,SBrkr
 Evaluates the present condition of the material on the exterior,TA,140.66731210452542,TA
 Evaluates the quality of the material on the exterior,Gd,-98.45395804370492,Gd
 Exterior covering on house,VinylSd,-1631.2700353053392,VinylSd
 Exterior covering on house (if more than one material),VinylSd,3005.254765648342,VinylSd
 Fence quality,,124.10897790018987,MnPrv
 Fireplace quality,TA,-155.06155701188402,TA
 Type of foundation,PConc,988.379649412295,PConc
 Home functionality (Assume typical unless deductions are warranted),Typ,1722.604429166849,Typ
 Garage condition,TA,285.649658219117,TA
 Interior finish of the garage,RFn,-1856.7951598816794,RFn
 Garage quality,TA,-254.53112775317254,TA
 Garage location,Attchd,-892.5718483498481,Attchd
 Type of heating,GasA,0.0,GasA
 Heating quality and condition,Ex,1181.3365585814993,Ex
 Style of dwelling,2Story,-4671.418081713822,2Story
 Kitchen quality,Gd,-1764.5901742450355,Gd
 Flatness of the property,Lvl,424.3133355512327,Lvl
 Slope of property,Gtl,-225.7224825380697,Gtl
 Lot configuration,Inside,-336.5486224832815,Inside
 General shape of property,IR1,-749.6608588810226,IR1
 Identifies the general zoning classification of the sale.,RL,440.9961923472579,RL
 Masonry veneer type,BrkFace,-2323.395635165794,BrkFace
 Miscellaneous feature not covered in other categories,,-29.060190776766206,Shed
 Physical locations within Ames city limits,CollgCr,-4761.423413509238,CollgCr
 Paved driveway,Y,219.2883820299091,Y
 Pool quality,,0.0,
 Roof material,CompShg,-241.17692677970774,CompShg
 Type of roof,Gable,-273.273849896367,Gable
 Condition of sale,Normal,1302.657229670718,Normal
 Type of sale,WD,-2609.610770958109,WD
 Type of road access to property,Pave,0.0,Pave
 Type of utilities available,AllPub,0.0,AllPub
