Feature Name,Feature Value,Contribution,Average/Mode
Call  Failure,14.0,0.31320780161290074,5.666666666666667
Complains,0.0,-0.3542611547995063,0.0
Subscription  Length,40.0,-0.12004139990016996,35.0
Charge  Amount,3.0,-0.375884069338294,1.0
Seconds of Use,7515.0,-0.15552765358164802,6058.666666666667
Frequency of use,,0.04108952960677603,96.5
Frequency of SMS,201.0,-0.45160338706437997,195.0
Distinct Called Numbers,28.0,-0.10650979730442436,30.333333333333332
Age Group,3.0,-0.006459839156322841,2.5
Tariff Plan,1.0,0.01380347664530653,1.0
Status,1.0,-0.29928047664560903,1.0
Age,30.0,0.006947041883711584,26.666666666666668
Customer Value,1108.72,-0.4483117632505542,1108.3833333333334
