,Feature Name,Feature Value,Contribution,Average/Mode
17,Number of Javascript keywords,0.0,0.10164650804535995,0.08
0,Total size in KB,91.0,0.08875837371928355,326.9700012207031
1,Size of metadata in KB,262.0,0.0742180552971513,325.05999755859375
7,Number of images,1.0,0.0669347225159072,1.75
14,Number of keywords with startxref,2.0,0.04842186396876059,2.05
16,Number of JS keywords,0.0,0.04181531726737376,0.04
10,Number of streams (sequences of binary data),21.0,0.03767924544692505,36.15999984741211
9,Number of objects,33.0,0.03677476196635325,102.74747474747475
11,Number of keywords that denote end of streams,21.0,0.03322972233805558,36.16
12,Number of Xref tables,2.0,0.0203468649694878,1.39
3,Number of entries in Xref tables,21.0,0.014951667093591824,246.57000732421875
24,Number of XFA keywords,0.0,0.009495674702848192,-0.03
8,Contains text,0.0,-0.009371071321565979,0.66
13,Number of trailers,2.0,0.007517619146256038,1.3899999856948853
20,Number of Acroform tags,1.0,-0.007049444457443314,0.59
19,Number of OpenAction keywords,0.0,0.006255674731710315,-0.01
25,Number of unique colors used,0.0,0.004923293593747075,0.07000000029802322
27,Header is standard,True,0.002493253980519512,1.0
15,Number of streams that contain other objects,0.0,0.001988055473775603,4.210000038146973
6,Number of embedded files,0.0,0.00197063495121256,0.0
2,Number of pages,1.0,0.0016691269583316171,7.03000020980835
21,Presence of JBIG2Decode filter,0.0,0.0016197222386836075,0.13
18,Number of AA keywords,0.0,0.0007782142858195584,0.02
5,Encryption status,0.0,0.0005098809621995315,0.009999999776482582
22,Number of RichMedia keywords,0.0,0.0004692857089685276,-0.03
4,Number of characters in the title,0.0,0.0004413094792926131,14.5
23,Number of Launch keywords,0.0,0.00021166667429497465,-0.03
26,Header contains error,False,0.0,0.0
